idPedido,fecha,idEmpleado
1,2023/06/11,1
2,2023/05/31,1
3,2023/07/11,1
4,2023/09/19,1
5,2023/12/29,1
6,2023/08/22,6
7,2023/11/24,7
8,2023/10/18,8
9,2023/08/11,9
10,2023/09/05,10
11,2023/12/02,11
12,2023/09/13,12
13,2023/05/30,13
14,2023/03/01,13
15,2023/06/16,13
16,2023/05/24,13
17,2023/07/16,13
18,2023/12/27,13
19,2023/03/24,13
20,2023/05/29,20
21,2023/06/12,21
22,2023/07/12,21
23,2023/07/05,21
24,2023/06/24,21
25,2023/06/16,21
26,2023/02/08,21
27,2023/10/01,27
28,2023/02/08,28
29,2023/01/26,29
30,2023/08/21,30
31,2023/05/01,30
32,2023/10/23,30
33,2023/09/16,30
34,2023/03/23,30
35,2023/03/29,30
36,2023/05/05,30
37,2023/05/11,30
38,2023/11/03,30
39,2023/02/28,39
40,2023/07/07,40
41,2023/09/19,40
42,2023/03/27,40
43,2023/06/10,40
44,2023/08/18,40
45,2023/08/01,40
46,2023/07/14,40
47,2023/06/14,40
48,2023/06/18,48
49,2023/03/13,49
50,2023/08/18,50
51,2023/10/04,50
52,2023/02/21,50
53,2023/02/01,50
54,2023/08/12,54
55,2023/09/26,55
56,2023/05/10,56
57,2023/01/23,57
58,2023/05/29,58
59,2023/08/24,58
60,2023/12/16,58
61,2023/06/03,58
62,2023/10/08,62
63,2023/12/15,63
64,2023/02/09,64
65,2023/07/27,65
66,2023/11/13,66
67,2023/03/01,67
68,2023/11/17,68
69,2023/07/27,69
70,2023/11/24,69
71,2023/04/27,69
72,2023/06/20,69
73,2023/06/07,69
74,2023/11/19,69
75,2023/04/05,69
76,2023/11/29,76
77,2023/02/17,77
78,2023/12/22,78
79,2023/11/04,78
80,2023/08/19,78
81,2023/07/04,78
82,2023/12/02,78
83,2023/12/08,83
84,2023/09/07,84
85,2023/03/29,85
86,2023/09/08,86
87,2023/12/24,87
88,2023/09/30,88
89,2023/01/27,88
90,2023/07/02,88
91,2023/01/30,88
92,2023/12/31,88
93,2023/11/26,93
94,2023/02/27,94
95,2023/03/01,95
96,2024/01/11,96
97,2024/01/11,97
98,2023/05/14,97
99,2023/07/12,99
100,2023/06/09,100
101,2023/06/23,101
102,2023/02/19,102
103,2024/01/15,103
104,2023/10/22,104
105,2024/01/20,105
106,2023/11/21,106
107,2023/12/18,107
108,2023/08/29,108
109,2023/05/18,108
110,2023/12/30,108
111,2023/05/24,108
112,2023/06/05,108
113,2023/02/20,113
114,2023/02/23,114
115,2023/05/06,114
116,2023/02/20,114
117,2023/07/18,114
118,2023/11/15,114
119,2023/05/11,114
120,2023/01/30,114
121,2024/01/17,121
122,2023/04/29,122
123,2023/09/14,123
124,2023/12/21,124
125,2023/11/06,125
126,2023/07/22,125
127,2023/11/03,125
128,2023/07/13,125
129,2023/11/02,125
130,2023/02/28,130
131,2023/11/26,131
132,2023/03/01,132
133,2023/02/06,133
134,2023/05/22,133
135,2023/02/24,133
136,2023/09/08,133
137,2023/02/15,133
138,2023/12/11,138
139,2023/11/19,139
140,2023/12/12,140
141,2023/07/20,141
142,2023/11/22,142
143,2023/02/21,142
144,2024/01/17,142
145,2023/08/21,142
146,2023/08/25,142
147,2023/12/28,142
148,2023/05/26,142
149,2023/02/26,149
150,2023/08/21,150
151,2024/01/14,151
152,2023/03/20,152
153,2023/04/22,153
154,2023/08/23,154
155,2023/04/04,155
156,2023/12/28,156
157,2023/11/05,156
158,2023/09/29,156
159,2023/03/30,156
160,2023/02/04,156
161,2023/05/27,161
162,2023/09/20,162
163,2023/02/24,163
164,2023/09/03,164
165,2023/01/30,165
166,2023/03/18,166
167,2023/08/10,167
168,2023/01/31,168
169,2023/03/14,168
170,2023/03/18,168
171,2023/08/01,168
172,2023/11/21,168
173,2023/07/14,168
174,2023/05/06,174
175,2023/07/22,175
176,2023/12/17,176
177,2023/05/30,177
178,2023/06/26,178
179,2023/12/15,179
180,2023/04/15,180
181,2023/12/02,181
182,2024/01/05,182
183,2023/01/26,182
184,2023/05/16,182
185,2023/10/26,185
186,2023/01/27,186
187,2023/05/07,187
188,2023/12/15,188
189,2023/01/27,189
190,2023/01/23,190
191,2023/04/16,191
192,2023/08/08,191
193,2023/04/08,191
194,2023/05/24,191
195,2023/04/13,195
196,2023/04/23,196
197,2023/02/11,197
198,2023/03/26,198
199,2023/05/30,199
200,2023/03/24,200
201,2023/07/20,201
202,2023/12/11,202
203,2023/09/29,202
204,2023/06/12,202
205,2023/03/08,202
206,2023/02/25,202
207,2023/11/13,207
208,2023/04/05,208
209,2023/03/20,209
210,2023/01/22,210
211,2023/12/10,211
212,2023/10/28,212
213,2023/07/06,212
214,2023/02/28,212
215,2023/05/02,212
216,2023/07/11,216
217,2023/03/09,217
218,2023/12/07,218
219,2023/05/09,219
220,2024/01/01,220
221,2023/05/21,221
